status,state,city,street,last_checked,longitude,latitude,scraped_datetime
working,ID,Twin Falls,3234 Kimberly Road,9/22/2022 14:42,-114.420938,42.547982,9/22/2022 17:00
broken,ID,Twin Falls,869 Pole Line Rd,9/22/2022 14:42,-114.461173,42.592355,9/22/2022 17:00
working,ID,Twin Falls,305 Blue Lakes Blvd N,9/22/2022 14:41,-114.46078,42.567099,9/22/2022 17:00
working,AZ,Globe,1608 E Ash,9/22/2022 14:41,-110.767656,33.39323,9/22/2022 17:00
working,ID,Twin Falls,110 Addison Ave West,9/22/2022 14:42,-114.480603,42.563894,9/22/2022 17:00
broken,AZ,Douglas,104 5th St,9/22/2022 14:42,-109.559911,31.33956,9/22/2022 17:00
broken,ID,Jerome,2611 S Lincoln St,9/22/2022 14:41,-114.519277,42.694754,9/22/2022 17:00
broken,AZ,Tusayan,Us Hwy 180 Po Box 3026,9/22/2022 14:41,-112.126397,35.972081,9/22/2022 17:00
working,AZ,Bellemont,12500 I-40 West,9/22/2022 14:42,-111.822016,35.238485,9/22/2022 17:00
working,AZ,Payson,101 South Beeline Highway,9/22/2022 14:42,-111.322383,34.240227,9/22/2022 17:00
working,NV,West Wendover,1120 W Wendover Blvd,9/22/2022 14:41,-114.06389,40.739086,9/22/2022 17:00
working,ID,Gooding,2440 Main Street,9/22/2022 14:41,-114.711762,42.92274,9/22/2022 17:00
working,MT,Libby,905 Louisiana Ave,9/22/2022 14:42,-115.55174,48.386698,9/22/2022 17:00
working,UT,Cedar City,1026 W 200 N,9/22/2022 14:42,-113.076528,37.681128,9/22/2022 17:00
working,AZ,Sedona,2380 W Us Hwy 89a,9/22/2022 14:41,-111.801727,34.863507,9/22/2022 17:00
working,ID,Buhl,706 Us Hwy 30,9/22/2022 14:41,-114.749767,42.594109,9/22/2022 17:00
broken,AZ,Benson,618 S State Hwy 90,9/22/2022 14:42,-110.346631,31.963016,9/22/2022 17:00
working,AZ,Williams,805 N. Grand Canyon Blvd.,9/22/2022 14:42,-112.192487,35.257088,9/22/2022 17:00
working,AZ,Camp Verde,"Finnie Flat   I-17, P.O. Box 1882",9/22/2022 14:41,-111.883734,34.575705,9/22/2022 17:00
broken,AZ,Cottonwood,1129 Hwy 260,9/22/2022 14:41,-112.001072,34.719472,9/22/2022 17:00
working,AZ,Sierra Vista,1802 Fry Blvd,9/22/2022 14:42,-110.278681,31.55427,9/22/2022 17:00
working,AZ,Sierra Vista,3536 Canyon De Flores,9/22/2022 14:42,-110.256864,31.504677,9/22/2022 17:00
broken,AZ,Catalina,15885 N Oracle Rd,9/22/2022 14:41,-110.926274,32.494239,9/22/2022 17:00
broken,UT,Hurricane,1180 W State St,9/22/2022 14:41,-113.310645,37.176806,9/22/2022 17:00
broken,AZ,Tucson,30 S Houghton Rd,9/22/2022 14:42,-110.773416,32.220345,9/22/2022 17:00
broken,AZ,Tucson,9075 E Tanque Verde Rd,9/22/2022 14:42,-110.798467,32.25848,9/22/2022 17:00
working,AZ,Tucson,8800 E Broadway,9/22/2022 14:41,-110.804305,32.220516,9/22/2022 17:00
working,AZ,Tucson,9490 E Golf Links,9/22/2022 14:41,-110.790318,32.191195,9/22/2022 17:00
