status,state,city,street,last_checked,longitude,latitude,scraped_datetime
working,FL,Hollywood,5530 S Sr 7,2022-09-23 10:25:03,-80.206821,26.052417,2022-09-23 12:00:03
working,MO,Excelsior Springs,2221 Happy Lane,2022-09-23 10:25:03,-94.267904,39.331832,2022-09-23 12:00:03
working,MN,St. James,313 1st Ave S,2022-09-23 10:26:03,-94.631499,43.98123,2022-09-23 12:00:03
working,AR,Little Rock,8710 Fourche Dam Pike,2022-09-23 10:25:03,-92.189846,34.717661,2022-09-23 12:00:03
working,AR,Conway,220 E Oak St,2022-09-23 10:25:03,-92.426541,35.092114,2022-09-23 12:00:03
broken,FL,Hollywood,2851 Sheridan St,2022-09-23 10:25:03,-80.165193,26.033807,2022-09-23 12:00:03
inactive,FL,Cape Coral,1619 S Del Prado,2021-12-11 22:05:03,-81.937068,26.62074,2022-09-23 12:00:03
working,FL,Cape Coral,1715 Del Prado Blvd,2022-09-23 10:25:03,-81.940442,26.619438,2022-09-23 12:00:03
working,FL,Cooper City,10260 Griffin Rd,2022-09-23 10:25:03,-80.283698,26.063591,2022-09-23 12:00:03
working,FL,Fort Myers,1530 Colonial Blvd,2022-09-23 10:25:03,-81.884479,26.596301,2022-09-23 12:00:03
working,FL,Hollywood,4295 N Davie Road Ext,2022-09-23 10:25:03,-80.231845,26.045567,2022-09-23 12:00:03
working,MO,Grain Valley,712 N Main Street,2022-09-23 10:25:03,-94.19869,39.019146,2022-09-23 12:00:03
working,FL,Immokalee,420 N 15th St,2022-09-23 10:25:03,-81.433256,26.4254,2022-09-23 12:00:03
broken,FL,Hollywood,1900 N State Road 7,2022-09-23 10:25:03,-80.208854,26.027423,2022-09-23 12:00:03
working,FL,Cape Coral,2925 Sw Pine Island Rd,2022-09-23 10:25:03,-82.036307,26.638105,2022-09-23 12:00:03
inactive,MS,Hattiesburg,6442 Us Hwy 98,2022-09-23 10:25:03,-89.41018,31.316675,2022-09-23 12:00:03
working,AR,North Little Rock,4422 Camp Robinson Rd,2022-09-23 10:25:03,-92.270764,34.795252,2022-09-23 12:00:03
working,AR,Conway,1440 Dave Ward Drive,2022-09-23 10:25:03,-92.443208,35.068578,2022-09-23 12:00:03
working,FL,Fort Myers,13600 Indian Paint Ln,2022-09-23 10:25:03,-81.800684,26.546508,2022-09-23 12:00:03
working,FL,Hollywood,3247 Hollywood Blvd,2022-09-23 10:25:03,-80.172951,26.011253,2022-09-23 12:00:03
inactive,MS,Jackson,5799 Terry Rd,2022-09-23 10:25:03,-90.260784,32.186698,2022-09-23 12:00:03
working,FL,Davie,4492 Weston Rd,2022-09-23 10:25:03,-80.359969,26.064214,2022-09-23 12:00:03
working,FL,Cape Coral,2404 Santa Barbara Blvd,2022-09-23 10:25:03,-81.974799,26.60732,2022-09-23 12:00:03
working,FL,Cooper City,5986 Flamingo Rd,2022-09-23 10:25:03,-80.312393,26.045591,2022-09-23 12:00:03
working,AR,Harrison,1314 N Main,2022-09-23 10:25:03,-93.116853,36.245126,2022-09-23 12:00:03
broken,FL,Fort Myers,12290 S Clevelnd Ave,2022-09-23 10:25:03,-81.872698,26.563788,2022-09-23 12:00:03
working,AR,North Little Rock,5506 Macarthur Dr,2022-09-23 10:25:03,-92.292016,34.806617,2022-09-23 12:00:03
broken,FL,Hollywood,5835 Hollywood Blvd,2022-09-23 10:25:03,-80.204989,26.010492,2022-09-23 12:00:03
inactive,AR,North Little Rock,600 E Broadway,2022-09-23 10:25:03,-92.261381,34.755694,2022-09-23 12:00:03
working,FL,Pembroke Pines,1490 University Drive,2022-09-23 10:25:03,-80.249064,26.021688,2022-09-23 12:00:03
working,AR,Conway,705 Salem Road,2022-09-23 10:25:03,-92.472137,35.087651,2022-09-23 12:00:03
broken,AR,Harrison,211 N Wal Mart Drive,2022-09-23 10:25:03,-93.137697,36.267278,2022-09-23 12:00:03
working,FL,Hallandale,111 North Federal Highway,2022-09-23 10:25:03,-80.142841,25.987095,2022-09-23 12:00:03
working,FL,Hallandale,835 W Hallandale Beach Blvd,2022-09-23 10:25:03,-80.160216,25.984582,2022-09-23 12:00:03
working,MN,Litchfield,1021 E Highway 12,2022-09-23 10:25:03,-94.505333,45.121777,2022-09-23 12:00:03
broken,FL,Pembroke Pines,11100 Taft Street,2022-09-23 10:25:03,-80.298043,26.022201,2022-09-23 12:00:03
working,FL,Fort Myers,8961 College Pky,2022-09-23 10:25:03,-81.903654,26.556032,2022-09-23 12:00:03
working,MO,Branson West,Rt 13 & 76,2022-09-23 10:25:03,-93.365805,36.696523,2022-09-23 12:00:03
working,AR, Little Rock,Swc 6th And Broadway,2022-09-23 10:25:03,-92.276555,34.743564,2022-09-23 12:00:03
working,FL,Fort Lauderdale,15911 Sheridan St,2022-09-23 10:25:03,-80.359581,26.030125,2022-09-23 12:00:03
working,FL,Cape Coral,1222 Cape Coral Pky,2022-09-23 10:25:03,-81.949204,26.562311,2022-09-23 12:00:03
working,FL,Miramar,6204 Miramar Pkwy,2022-09-23 10:25:03,-80.21113,25.984119,2022-09-23 12:00:03
inactive,MO,Blue Springs,814 N Hwy 7,2021-07-09 05:25:03,-94.271066,39.028114,2022-09-23 12:00:03
inactive,AR,North Little Rock,20605 Hwy 365,2021-07-07 15:31:03,-92.383246,34.883732,2022-09-23 12:00:03
inactive,MO,Kearney,500 W 92 Hwy,2021-07-09 05:31:03,-94.370716,39.368577,2022-09-23 12:00:03
inactive,FL,Ft. Myers,14985 S Tamiami Tr,2021-07-09 05:19:03,-81.870596,26.525556,2022-09-23 12:00:03
working,FL,Pembroke Pines,12480 S Pines Blvd,2022-09-23 10:22:03,-80.314387,26.007037,2022-09-23 12:00:03
